,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianListingPrice_AllHomes,MedianRentalPricePerSqft_AllHomes
10738,Massachusetts,197.347316471314,329900.0,329900.0,2.1985574562894197
10790,Massachusetts,202.371199082042,344000.0,344000.0,2.18977509640044
10842,Massachusetts,204.845467570782,349000.0,349000.0,2.16452085948277
10894,Massachusetts,207.880415518618,349900.0,349900.0,2.18135158254919
10946,Massachusetts,209.96162114633802,359000.0,359000.0,2.491748815424
10998,Massachusetts,208.88579387186599,354900.0,354900.0,2.5162508969650896
11050,Massachusetts,205.85585585585602,349900.0,349900.0,2.5
11102,Massachusetts,203.85826771653498,349000.0,349000.0,2.40384615384615
11154,Massachusetts,203.710881740474,349000.0,349000.0,2.33136769643557
11206,Massachusetts,204.01785714285703,349900.0,349900.0,2.22222222222222
11258,Massachusetts,203.85826771653498,349900.0,349900.0,2.2029127731735896
11310,Massachusetts,201.177793560606,342000.0,342000.0,2.22517040898156
11362,Massachusetts,201.40029737601898,339900.0,339900.0,2.37864077669903
11414,Massachusetts,203.010891093622,344900.0,344900.0,2.4457593688362897
11466,Massachusetts,206.375485866987,349900.0,349900.0,2.52365930599369
11518,Massachusetts,209.707317073171,358900.0,358900.0,2.58620689655172
11570,Massachusetts,212.56081987195802,360000.0,360000.0,2.61096605744125
11622,Massachusetts,213.70309951060398,365000.0,365000.0,2.62773722627737
11674,Massachusetts,211.88940092165902,359900.0,359900.0,2.5887573964497004
11726,Massachusetts,209.59677419354801,359000.0,359000.0,2.5033829499323397
11778,Massachusetts,211.19440533083,359900.0,359900.0,2.375
11830,Massachusetts,211.75847457627103,359900.0,359900.0,2.2619316896629704
11882,Massachusetts,211.052322163433,359900.0,359900.0,2.28571428571429
11934,Massachusetts,208.420611646418,350000.0,350000.0,2.32126276694522
11986,Massachusetts,209.00681533551497,350000.0,350000.0,2.4366229403000803
12038,Massachusetts,212.36722306525002,359900.0,359900.0,2.5147928994082798
12090,Massachusetts,219.19114423498502,379000.0,379000.0,2.56187360801782
12142,Massachusetts,222.808320950966,389900.0,389900.0,2.6251843657817098
12194,Massachusetts,224.138402367979,395000.0,395000.0,2.60256802613932
12246,Massachusetts,225.89453860640302,398900.0,398900.0,2.6053215077605296
12298,Massachusetts,223.977030081182,389900.0,389900.0,2.59830447330447
12350,Massachusetts,222.06823027718602,384900.0,384900.0,2.4731487209599
12402,Massachusetts,224.60781169313202,389900.0,389900.0,2.43288590604027
12454,Massachusetts,225.960251835586,394900.0,394900.0,2.28965305630438
12506,Massachusetts,224.916666666667,389900.0,389900.0,2.25818624384672
12558,Massachusetts,222.640015832179,384900.0,384900.0,2.28751940476279
12610,Massachusetts,222.074074074074,379900.0,379900.0,2.3980815347721802
12662,Massachusetts,225.09900990098998,389900.0,389900.0,2.5327868852459
12714,Massachusetts,233.698701464501,409900.0,409900.0,2.59124087591241
12766,Massachusetts,238.636363636364,421900.0,421900.0,2.69058295964126
12818,Massachusetts,241.666666666667,429000.0,429000.0,2.7272727272727297
12870,Massachusetts,243.508982035928,429000.0,429000.0,2.72300469483568
12922,Massachusetts,240.96385542168701,424900.0,424900.0,2.67811166691187
12974,Massachusetts,239.46107784431098,419000.0,419000.0,2.55164034021871
13026,Massachusetts,242.150178766995,419900.0,419900.0,2.46026003261893
13078,Massachusetts,242.791800213675,419900.0,419900.0,2.39987849331713
13130,Massachusetts,242.486909176109,419900.0,419900.0,2.3909395973154397
13182,Massachusetts,237.99205489346298,415000.0,415000.0,2.39844106723617
