,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,MedianRentalPricePerSqft_AllHomes
12580,Texas,113.485460420032,249995.0,1385.0,0.8663769690385659
12632,Texas,113.96005698005699,249900.0,1426.0,0.87962962962963
12684,Texas,115.165418227216,255000.0,1450.0,0.888344082716624
12736,Texas,117.167600611309,263837.5,1475.0,0.898086135237151
12788,Texas,118.65620360718,269900.0,1500.0,0.9109450390993291
12840,Texas,119.48707124010599,272000.0,1500.0,0.9139784946236559
12892,Texas,119.856013551666,274644.5,1500.0,0.913432746436699
12944,Texas,119.53663118346901,270000.0,1510.0,0.910093767236624
12996,Texas,119.18274687854701,269900.0,1500.0,0.9004237288135591
13048,Texas,119.28104575163401,269000.0,1500.0,0.9018663329008159
13100,Texas,119.502868068834,269000.0,1495.0,0.8970727101038721
13152,Texas,119.603921568627,269000.0,1495.0,0.899031811894882
13204,Texas,119.904891304348,269000.0,1495.0,0.900958064663648
